"ANIO_REG","TRIMESTRE","FOLIO","HOG_ENT_1","HOG_ENT_2","TRAB_DOMES","NUM_TRAB_D","EDAD_TRAB1","EDAD_TRAB2","EDAD_TRAB3","EDAD_TRAB4","EDAD_TRAB5","ACC_ALIM1","ACC_ALIM2","ACC_ALIM3","ACC_ALIM4","ACC_ALIM5","ACC_ALIM6","ACC_ALIM7","ACC_ALIM8","ACC_ALIM9","ACC_ALIM10","ACC_ALIM11","ACC_ALIM12","SALUD1","SALUD2","SALUD3","SALUD4","SALUD5","SALUD6","SALUD7","EMPLEO1","EMPLEO2","EMPLEO3","EMPLEO4_1","EMPLEO4_2","EMPLEO4_3","EMPLEO4_4","NEGOCIO1","NEGOCIO2","NEGOCIO3","NEGOCIO4_1","NEGOCIO4_2","NEGOCIO4_3","NEGOCIO4_4","COSECHA1","COSECHA2","COSECHA3","COSECHA4_1","COSECHA4_2","COSECHA4_3","COSECHA4_4","DESNAT1","DESNAT2","DESNAT3","DESNAT4_1","DESNAT4_2","DESNAT4_3","DESNAT4_4","DESNAT4_5","DESNAT4_6","APO_GOB_1","APO_GOB_2","APO_GOB_3","APO_GOB_4","PROG_OPORT","PROG_PROCA","INTEG_MEN","CUID_MEN1","CUID_MEN2","CUID_MEN3","CUID_MEN4","CUID_MEN5","CUID_MEN6","CUID_MEN7","CUID_MEN8","CUID_MEN9","CUID_MEN10","CUID_MEN11","CUID_MEN12","CUID_MEN13","PAGO_MENOR","CANT_MENOR","INTEG_MAY","AYUDA_MAY1","AYUDA_MAY2","AYUDA_MAY3","AYUDA_MAY4","AYUDA_MAY5","AYUDA_MAY6","AYUDA_MAY7","AYUDA_MAY8","CUID_MAY1","CUID_MAY2","CUID_MAY3","CUID_MAY4","CUID_MAY5","CUID_MAY6","CUID_MAY7","PAGO_MAYOR","CANT_MAYOR","INTEG_7A59","AYUDA_PER1","AYUDA_PER2","AYUDA_PER3","AYUDA_PER4","AYUDA_PER5","AYUDA_PER6","AYUDA_PER7","AYUDA_PER8","CUID_PER1","CUID_PER2","CUID_PER3","CUID_PER4","CUID_PER5","CUID_PER6","CUID_PER7","PAGO_7A59","CANT_7A59","PERDIDA1","PERDIDA2","PERDIDA3","PERDIDA4","PERDIDA5_1","PERDIDA5_2","PERDIDA5_3","PERDIDA5_4","NUM_RADIO","ANIO_RADIO","NUM_TV","ANIO_TV","NUM_LICUA","ANIO_LICUA","NUM_MICRO","ANIO_MICRO","NUM_REFRI","ANIO_REFRI","NUM_ESTUF","ANIO_ESTUF","NUM_LAVAD","ANIO_LAVAD","NUM_PLANC","ANIO_PLANC","NUM_MAQUI","ANIO_MAQUI","NUM_VENTI","ANIO_VENTI","NUM_ASPIR","ANIO_ASPIR","NUM_COMPU","ANIO_COMPU","NUM_AUTO","ANIO_AUTO","NUM_LINEA","ANIO_LINEA","NUM_CEL","ANIO_CEL","CONEX_INTE","TIPO_CONEX","TOT_INTEG","FACTOR"
"2012","1","101203053","1","0","4",0,0,0,0,0,0,"2","2","2","2",,,,,,,,,"2",,,,"2",,,"2",,,,,,,"3",,,,,,,"1","1","2",,,,,"1","1","2",,,,,,,"2","2","2","2","1","2","2",,,,,,,,,,,,,,,0,"2",,,,,,,,,,,,,,,,,0,"1","2","2","2","2","2","2","2","2",,,,,,,,,0,"2",,,,,,,,1,"06",2,"09",1,"01",1,"07",1,"96",1,"94",1,"94",1,"06",0,,0,,0,,0,,1,"07",0,,1,"10","2",,5,21860
"2012","1","101203054","1","0","4",0,0,0,0,0,0,"2","2","2","2",,,,,,,,,"2",,,,"2",,,"2",,,,,,,"3",,,,,,,"1","1","2",,,,,"1","1","2",,,,,,,"1","2","2","2","1","1","2",,,,,,,,,,,,,,,0,"2",,,,,,,,,,,,,,,,,0,"1","2","2","2","2","2","2","2","2",,,,,,,,,0,"2",,,,,,,,1,"95",1,"95",1,"10",1,"08",1,"08",1,"90",1,"00",1,"10",0,,0,,0,,0,,1,"07",1,"07",1,"08","2",,5,21250
"2012","1","101203055","1","0","4",0,0,0,0,0,0,"2","2","2","2",,,,,,,,,"2",,,,"2",,,"2",,,,,,,"3",,,,,,,"3",,,,,,,"2",,,,,,,,,"1","2","2","2","1","2","1",,,,,,,,,"9",,,,,"2",0,"2",,,,,,,,,,,,,,,,,0,"1","2","2","2","2","2","2","2","2",,,,,,,,,0,"1","1","1","2",,,,,1,"04",1,"11",1,"11",0,,1,"10",1,"07",1,"07",1,"04",0,,0,,0,,0,,0,,0,,2,"11","2",,4,11525
"2012","1","101203056","1","0","4",0,0,0,0,0,0,"2","2","2","2",,,,,,,,,"2",,,,"2",,,"2",,,,,,,"3",,,,,,,"1","1","2",,,,,"1","1","2",,,,,,,"1","2","2","2","1","1","1",,,,,,,,"8","9",,,,,"2",0,"1","1","2","2","2","2","2","2","2",,,,"4",,,,"2",0,"1","2","2","2","2","2","2","2","2",,,,,,,,,0,"2",,,,,,,,0,,1,"10",1,"05",0,,1,"10",1,"08",1,"04",1,"11",1,"97",0,,0,,0,,0,,0,,1,"10","2",,7,30004
"2012","1","101203057","1","0","4",0,0,0,0,0,0,"2","2","2","2",,,,,,,,,"2",,,,"2",,,"2",,,,,,,"3",,,,,,,"1","1","2",,,,,"1","1","2",,,,,,,"1","2","2","2","1","1","2",,,,,,,,,,,,,,,0,"1","2","2","2","2","2","2","2","2",,,,,,,,,0,"2",,,,,,,,,,,,,,,,,0,"2",,,,,,,,1,"03",1,"07",1,"02",0,,1,"02",1,"02",1,"02",1,"04",0,,0,,0,,0,,1,"07",0,,1,"08","2",,2,10616
"2012","1","101203058","1","0","4",0,0,0,0,0,0,"2","2","2","2",,,,,,,,,"2",,,,"2",,,"2",,,,,,,"2",,,,,,,"1","1","2",,,,,"1","1","2",,,,,,,"1","2","1","2","1","2","2",,,,,,,,,,,,,,,0,"2",,,,,,,,,,,,,,,,,0,"1","2","2","2","2","2","2","2","2",,,,,,,,,0,"2",,,,,,,,1,"05",2,"10",1,"09",1,"08",1,"90",1,"10",1,"90",1,"09",0,,0,,0,,0,,1,"06",0,,1,"11","2",,5,17288
"2012","1","101203059","1","0","4",0,0,0,0,0,0,"2","2","2","2",,,,,,,,,"2",,,,"2",,,"2",,,,,,,"3",,,,,,,"1","1","2",,,,,"1","1","2",,,,,,,"1","2","2","2","1","1","1",,,,,,,,"8","9",,,,,"2",0,"2",,,,,,,,,,,,,,,,,0,"1","2","2","2","2","2","2","2","2",,,,,,,,,0,"2",,,,,,,,1,"00",1,"00",1,"00",0,,1,"00",1,"07",0,,1,"97",0,,0,,0,,0,,1,"03",0,,1,"10","2",,6,24003
"2012","1","101203060","1","0","4",0,0,0,0,0,0,"2","2","2","2",,,,,,,,,"2",,,,"2",,,"2",,,,,,,"3",,,,,,,"1","1","2",,,,,"1","1","2",,,,,,,"1","2","2","2","1","1","2",,,,,,,,,,,,,,,0,"1","2","2","2","2","2","2","2","2",,,,,,,,,0,"1","2","2","2","2","2","2","2","2",,,,,,,,,0,"2",,,,,,,,1,"09",1,"95",1,"09",0,,1,"09",1,"09",0,,1,"10",0,,0,,0,,0,,1,"10",0,,2,"11","2",,4,23051
"2012","1","101203062","1","0","4",0,0,0,0,0,0,"1","1","1","2","1","2","1","2","2","2","2","2","1","1","2","02","2",,,"2",,,,,,,"2",,,,,,,"1","1","2",,,,,"1","1","2",,,,,,,"2","2","1","2","2","2","2",,,,,,,,,,,,,,,0,"2",,,,,,,,,,,,,,,,,0,"1","2","2","2","2","2","2","2","2",,,,,,,,,0,"2",,,,,,,,1,"08",2,"10",1,"07",0,,1,"10",1,"09",1,"07",1,"09",1,"06",1,"08",0,,1,"08",2,"08",1,"07",4,"11","2",,6,24003
"2012","1","101203063","1","0","4",0,0,0,0,0,0,"1","1","1","1","1","2","1","2","2","2","2","2","2",,,,"2",,,"1","1","2",,,,,"3",,,,,,,"3",,,,,,,"1","1","2",,,,,,,"1","2","1","2","1","2","1",,,,,,,,,"9",,,,,"2",0,"2",,,,,,,,,,,,,,,,,0,"1","2","2","2","2","2","2","2","2",,,,,,,,,0,"2",,,,,,,,0,,1,"10",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,"2",,4,12002
